      3000.00      0.801934       20891.3 
      3001.00      0.730174       19065.1 
      3002.00      0.688646       18037.5 
      3003.00      0.683257       17961.3 
      3004.00      0.739897       19520.2 
      3005.00      0.798213       21124.7 
      3006.00      0.793340       21059.8 
      3007.00      0.748894       19946.1 
      3008.00      0.731988       19566.1 
      3009.00      0.759562       20374.4 
      3010.00      0.800567       21545.5 
      3011.00      0.815779       22024.2 
      3012.00      0.799747       21662.4 
      3013.00      0.791577       21514.3 
      3014.00      0.789462       21528.1 
      3015.00      0.781042       21368.8 
      3016.00      0.765312       21007.1 
      3017.00      0.739536       20366.5 
      3018.00      0.715206       19761.9 
      3019.00      0.674595       18698.2 
      3020.00      0.609655       16954.3 
      3021.00      0.610993       17060.2 
      3022.00      0.716122       20065.6 
      3023.00      0.790874       22222.9 
      3024.00      0.779786       21977.0 
      3025.00      0.738617       20885.4 
      3026.00      0.732315       20781.9 
      3027.00      0.784370       22335.5 
      3028.00      0.823281       23514.9 
      3029.00      0.806487       23105.9 
      3030.00      0.767206       22052.6 
      3031.00      0.747169       21550.3 
      3032.00      0.764794       22134.7 
      3033.00      0.802013       23287.4 
      3034.00      0.828049       24120.5 
      3035.00      0.843119       24637.5 
      3036.00      0.819632       24023.4 
      3037.00      0.758724       22310.0 
      3038.00      0.743056       21928.4 
      3039.00      0.780890       23120.8 
      3040.00      0.788534       23417.1 
      3041.00      0.753653       22451.6 
      3042.00      0.730221       21828.1 
      3043.00      0.747878       22431.3 
      3044.00      0.771465       23212.6 
      3045.00      0.792550       23924.2 
      3046.00      0.802892       24311.2 
      3047.00      0.780041       23693.3 
      3048.00      0.772829       23554.4 
      3049.00      0.799404       24443.7 
      3050.00      0.812103       24909.1 
      3051.00      0.817772       25164.7 
      3052.00      0.828534       25575.8 
      3053.00      0.804770       24917.5 
      3054.00      0.771668       23971.5 
      3055.00      0.776102       24189.6 
      3056.00      0.770631       24090.2 
      3057.00      0.713948       22386.2 
      3058.00      0.677475       21316.2 
      3059.00      0.696387       21985.8 
      3060.00      0.745070       23599.3 
